"ACQDATE","ACQYEAR","ACQ_BRANCHES","ACQ_BRANCHES_HREF","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTAGENT","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","CLCODE","CNTYNAME","CNTYNUM","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","ESTDATE","ESTYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FDICREGION","FDICREGION_DESC","FI_EFFDATE","FI_UNINUM","FRM_CERT","FRM_CHARTAGENT","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_CLCODE","FRM_CNTYNAME","FRM_CNTYNUM","FRM_INSAGENT1","FRM_INSTNAME","FRM_ORGTYPE","FRM_ORGTYPE_NUM","FRM_PADDR","FRM_PCITY","FRM_PSTALP","FRM_PSTNUM","FRM_PZIP5","FRM_PZIPREST","FRM_REGAGENT","FRM_TRUST","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSAGENT2","INSTNAME","INSURED_COM_FLAG","INSURED_OTS_FLAG","LATITUDE","LONGITUDE","MADDR","MCITY","MSTALP","MSTATE","MZIP5","MZIPREST","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","OFF_CNTYNUM","OFF_NUM","ORGTYPE","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","PADDR","PCITY","PROCDATE","PROCYEAR","PSTALP","PZIP5","PZIPREST","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","SERVTYPE","SERVTYPE_DESC","STATE","STNUM","TRANSNUM","TRUST","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG"
"2000-02-07T00:00:00","2000","1","/api/history?filters=TRANSNUM:200015676 AND (REPORT_TYPE:260 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","44256","260","BANK CLOSED BY CHARTERING AGENT PENDING SALE","Failed. Closed with government assistance.","STATE","0","0","0","0","CU","0","N/A","N/A","91","RICE","131","2000-02-07T00:00:00","2000","1979-12-31T00:00:00","1979","1932-01-01T00:00:00","1932","0","0","0","0","0","11","KANSAS CITY","","0","44256","STATE","CU","N/A","N/A","91","RICE","131","NCUA","FAIRWAY EMPLOYEES CREDIT UNION","CREDIT UNION","140","1111 WEST 5TH STREET","NORTHFIELD","MN","27","55057","","NCUA","","200015676_260_108651__","NCUA","0","","FAIRWAY EMPLOYEES CREDIT UNION","0","0","44.454739","-93.173454","1111 WEST 5TH STREET","NORTHFIELD","MN","MINNESOTA","55057","","0","0","0","0","CREDIT UNION","140","FI","Y","1111 WEST 5TH STREET","NORTHFIELD","2000-04-08T00:00:00","2000","MN","55057","","NCUA","0","0","260","11","FULL SERVICE - BRICK AND MORTAR","MINNESOTA","27","200015676","","0","0","0","0","0","108651","0","0"
"2000-04-14T00:00:00","2000","1","/api/history?filters=TRANSNUM:200040713 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","25844","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","54","DUPAGE","43","2000-04-14T00:00:00","2000","1989-06-30T00:00:00","1989","1984-04-16T00:00:00","1984","0","0","0","0","0","9","CHICAGO","","0","25844","STATE","NC","N/A","N/A","54","DUPAGE","43","NONE","Independent Trust Corporation","TRUST COMPANY","310","1910 HIGHLAND AVENUE, SUITE 105","LOMBARD","IL","17","60148","0000","STATE","Full","200040713_240_32079__","NONE","0","","Independent Trust Corporation","0","0","41.848303","-88.011889","1910 HIGHLAND AVENUE, SUITE 105","LOMBARD","IL","ILLINOIS","60148","0000","0","0","0","0","TRUST COMPANY","310","FI","Y","1910 HIGHLAND AVENUE, SUITE 105","LOMBARD","2000-04-26T00:00:00","2000","IL","60148","0000","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","ILLINOIS","17","200040713","Full","0","0","0","0","0","32079","0","0"
"2000-02-04T00:00:00","2000","1","/api/history?filters=TRANSNUM:200041387 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","27391","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","OCC","0","0","0","0","NC","0","N/A","N/A","50","BROWARD","11","2000-02-04T00:00:00","2000","1997-06-30T00:00:00","1997","1988-12-09T00:00:00","1988","0","0","0","0","0","2","NEW YORK","","0","27391","OCC","NC","N/A","N/A","50","BROWARD","11","NONE","Citibank Florida, National Association","TRUST COMPANY","310","255 EAST DANIA BEACH BOULEVARD","DANIA","FL","12","33004","3098","OCC","None","200041387_240_39834__","NONE","0","","Citibank Florida, National Association","0","0","26.052604","-80.140023","255 EAST DANIA BEACH BOULEVARD","DANIA","FL","FLORIDA","33004","3098","0","0","0","0","TRUST COMPANY","310","FI","Y","255 EAST DANIA BEACH BOULEVARD","DANIA","2000-05-11T00:00:00","2000","FL","33004","3098","OCC","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","FLORIDA","12","200041387","None","0","0","0","0","0","39834","0","0"
"2000-03-06T00:00:00","2000","1","/api/history?filters=TRANSNUM:200041403 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","34814","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","OCC","0","0","0","0","NC","0","N/A","N/A","50","LOS ANGELES","37","2000-03-06T00:00:00","2000","1998-03-12T00:00:00","1998","1998-03-12T00:00:00","1998","0","0","0","0","0","14","SAN FRANCISCO","","0","34814","OCC","NC","N/A","N/A","50","LOS ANGELES","37","NONE","Mission Trust Company, National Association","TRUST COMPANY","310","135 NORTH LOS ROBLES","PASADENA","CA","6","91101","0000","OCC","Full","200041403_240_61662__","NONE","0","","Mission Trust Company, National Association","0","0","34.148437","-118.141547","135 NORTH LOS ROBLES","PASADENA","CA","CALIFORNIA","91101","0000","0","0","0","0","TRUST COMPANY","310","FI","Y","135 NORTH LOS ROBLES","PASADENA","2000-05-12T00:00:00","2000","CA","91101","0000","OCC","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","CALIFORNIA","6","200041403","Full","0","0","0","0","0","61662","0","0"
"2000-04-12T00:00:00","2000","3","/api/history?filters=TRANSNUM:200041517 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","90630","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","54","LOS ANGELES","37","2000-04-12T00:00:00","2000","1988-04-23T00:00:00","1988","1975-11-24T00:00:00","1975","0","0","0","0","0","14","SAN FRANCISCO","","0","90630","STATE","NC","N/A","N/A","54","LOS ANGELES","37","NONE","Imperial Trust Company","TRUST COMPANY OWNED BY FDIC SUPERVISOR","311","201 NORTH FIGUEROA STREET, SUITE 610","LOS ANGELES","CA","6","90012","0000","FDIC","Full","200041517_240_18091__","NONE","0","","Imperial Trust Company","0","0","34.058679","-118.251173","201 NORTH FIGUEROA STREET, SUITE 610","LOS ANGELES","CA","CALIFORNIA","90012","0000","0","0","0","0","TRUST COMPANY OWNED BY FDIC SUPERVISOR","311","FI","Y","201 NORTH FIGUEROA STREET, SUITE 610","LOS ANGELES","2000-05-17T00:00:00","2000","CA","90012","0000","FDIC","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","CALIFORNIA","6","200041517","Full","0","0","0","0","0","18091","0","0"
"2000-03-31T00:00:00","2000","2","/api/history?filters=TRANSNUM:200041967 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","33798","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","51","NEW YORK","61","2000-03-31T00:00:00","2000","1993-04-30T00:00:00","1993","1993-04-30T00:00:00","1993","0","0","0","0","0","2","NEW YORK","","0","33798","STATE","NC","N/A","N/A","51","NEW YORK","61","NONE","MTB Bank","COMMERCIAL BANK","10","90 BROAD STREET","NEW YORK","NY","36","10004","0000","STATE","","200041967_240_48074__","NONE","0","","MTB Bank","0","0","0","0","90 BROAD STREET","NEW YORK CITY","NY","NEW YORK","10004","2290","0","0","0","0","COMMERCIAL BANK","10","FI","Y","90 BROAD STREET","NEW YORK","2000-06-05T00:00:00","2000","NY","10004","0000","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","NEW YORK","36","200041967","","0","0","0","0","0","48074","0","0"
"2000-06-01T00:00:00","2000","1","/api/history?filters=TRANSNUM:200047618 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","Y","26528","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","OCC","0","0","0","0","N","0","C","Commercial","3","HARRIS","201","2000-06-01T00:00:00","2000","1996-05-21T00:00:00","1996","1986-01-21T00:00:00","1986","0","0","0","0","0","13","DALLAS","","0","26528","OCC","N","C","Commercial","3","HARRIS","201","BIF","Houston Independent Bank, National Association","COMMERCIAL BANK","10","11110 ROARK ROAD","HOUSTON","TX","48","77099","0000","OCC","","200047618_240_33230__","BIF","0","","Houston Independent Bank, National Association","0","0","29.659599","-95.561069","P.O. BOX 2518","HOUSTON","TX","TEXAS","77252","2518","0","0","0","0","COMMERCIAL BANK","10","FI","Y","11110 ROARK ROAD","HOUSTON","2000-08-21T00:00:00","2000","TX","77099","0000","OCC","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","TEXAS","48","200047618","","0","0","0","0","0","33230","1","0"
"2000-06-06T00:00:00","2000","1","/api/history?filters=TRANSNUM:200047872 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","Y","33809","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NM","0","C","Commercial","21","MUSCOGEE","215","2000-06-06T00:00:00","2000","2000-05-10T00:00:00","2000","1993-05-28T00:00:00","1993","0","0","0","0","0","13","DALLAS","","0","33809","STATE","NM","C","Commercial","21","MUSCOGEE","215","BIF","CENTRAL CAROLINA BANK - GEORGIA","CREDIT CARD BANK","15","33 WEST 11TH STREET","COLUMBUS","GA","13","31901","0000","FDIC","","200047872_240_48092__","BIF","0","","CENTRAL CAROLINA BANK - GEORGIA","0","0","32.466826","-84.994635","P.O. BOX 30022","DURHAM","NC","NORTH CAROLINA","27702","0000","0","0","0","0","CREDIT CARD BANK","15","FI","Y","33 WEST 11TH STREET","COLUMBUS","2000-08-23T00:00:00","2000","GA","31901","0000","FDIC","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","GEORGIA","13","200047872","","0","0","0","0","0","48092","1","0"
"2000-06-19T00:00:00","2000","1","/api/history?filters=TRANSNUM:200048205 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","N","33658","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","STATE","0","0","0","0","NC","0","N/A","N/A","52","SAN FRANCISCO","75","2000-06-19T00:00:00","2000","2000-06-12T00:00:00","2000","1921-01-01T00:00:00","1921","0","0","0","0","0","2","NEW YORK","","0","33658","STATE","NC","N/A","N/A","52","SAN FRANCISCO","75","NONE","Bank Hapoalim B. M.","COMMERCIAL BANK","10","250 MONTGOMERY STREET, SUITE 700","SAN FRANCISCO","CA","6","94104","0000","STATE","","200048205_240_47742__","NONE","0","","Bank Hapoalim B. M.","0","0","37.791498","-122.402378","250 MONTGOMERY STREET, SUITE 700","SAN FRANCISCO","CA","CALIFORNIA","94104","0000","0","0","0","0","COMMERCIAL BANK","10","FI","Y","250 MONTGOMERY STREET, SUITE 700","SAN FRANCISCO","2000-08-29T00:00:00","2000","CA","94104","0000","STATE","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","CALIFORNIA","6","200048205","","0","0","0","0","0","47742","0","0"
"2000-09-30T00:00:00","2000","1","/api/history?filters=TRANSNUM:200051253 AND (REPORT_TYPE:240 OR REPORT_TYPE:721)&sort_by=OFF_PSTALP&sort_order=asc","0","Y","33820","240","OTHER LIQUIDATIONS AND CLOSINGS","Closed voluntarily and liquidated its assets.","OCC","0","0","0","0","N","0","C","Commercial","3","KENT","1","2000-09-30T00:00:00","2000","1999-12-16T00:00:00","1999","1993-07-16T00:00:00","1993","0","0","0","0","0","2","NEW YORK","","0","33820","OCC","N","C","Commercial","3","KENT","1","BIF","JCPenney Card Bank, National Association","CREDIT CARD BANK","15","EAST STREET AND CLARK, SUITE B","HARRINGTON","DE","10","19952","0000","OCC","","200051253_240_48123__","BIF","0","","JCPenney Card Bank, National Association","0","0","38.923043","-75.574576","P.O. BOX 247","HARRINGTON","DE","DELAWARE","19952","0000","0","0","0","0","CREDIT CARD BANK","15","FI","Y","EAST STREET AND CLARK, SUITE B","HARRINGTON","2000-10-19T00:00:00","2000","DE","19952","0000","OCC","0","0","240","11","FULL SERVICE - BRICK AND MORTAR","DELAWARE","10","200051253","","0","0","0","0","0","48123","1","0"
