"ACQDATE","ACQYEAR","ASSISTED_PAYOUT_FLAG","BANK_INSURED","CERT","CHANGECODE","CHANGECODE_DESC","CHANGECODE_DESC_LONG","CHARTAGENT","CHARTER_COM_TO_OTHER_FLAG","CHARTER_COM_TO_OTS_FLAG","CHARTER_OTHER_TO_COM_FLAG","CHARTER_OTS_TO_COM_FLAG","CLASS","CLASS_CHANGE_FLAG","CLASS_TYPE","CLASS_TYPE_DESC","CLCODE","CNTYNAME","CNTYNUM","EFFDATE","EFFYEAR","ENDDATE","ENDYEAR","ESTDATE","ESTYEAR","FAILED_COM_TO_COM_FLAG","FAILED_OTHER_TO_COM_FLAG","FAILED_OTS_TO_COM_FLAG","FAILED_OTS_TO_OTS_FLAG","FAILED_RTC_FLAG","FDICREGION","FDICREGION_DESC","FI_EFFDATE","FI_UNINUM","FRM_CLASS","FRM_CLASS_TYPE","FRM_CLASS_TYPE_DESC","FRM_CLCODE","FRM_CNTYNUM","FRM_INSAGENT1","FRM_ORGTYPE_NUM","FRM_PSTALP","FRM_PSTNUM","FRM_REGAGENT","ID","INSAGENT1","INSAGENT1_CHANGE_FLAG","INSAGENT2","INSTNAME","INSURED_COM_FLAG","INSURED_OTS_FLAG","LATITUDE","LONGITUDE","MADDR","MCITY","MSTALP","MSTATE","MZIP5","MZIPREST","NEW_CHARTER_DENOVO_FLAG","NEW_CHARTER_FLAG","OFF_CNTYNUM","OFF_NUM","ORGTYPE","ORGTYPE_NUM","ORG_ROLE_CDE","ORG_STAT_FLG","PADDR","PCITY","PROCDATE","PROCYEAR","PSTALP","PZIP5","PZIPREST","REGAGENT","REGAGENT_CHANGE_FLAG","RELOCATE_FLAG","REPORT_TYPE","SERVTYPE","SERVTYPE_DESC","STATE","STNUM","TRANSNUM","TRUST","UNASSIST_COM_TO_COM_FLAG","UNASSIST_COM_TO_OTS_FLAG","UNASSIST_OTHER_TO_COM_FLAG","UNASSIST_OTS_TO_COM_FLAG","UNASSIST_OTS_TO_OTS_FLAG","UNINUM","VOLUNTARY_LIQUIDATION_FLAG","WITHDRAW_INSURANCE_COM_FLAG","FRM_CERT","FRM_CHARTAGENT","FRM_CNTYNAME","FRM_INSTNAME","FRM_ORGTYPE","FRM_PADDR","FRM_PCITY","FRM_PZIP5","FRM_PZIPREST","FRM_TRUST"
"2006-03-29T00:00:00","2006","0","Y","34619","110","NEW INSTITUTION","Institution established. Original name: ITS Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","POLK","153","2000-01-01T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-01T00:00:00","2000","0","0","0","0","0","11","KANSAS CITY","","0","NM","C","Commercial","0","0","BIF","0","IA","0","FDIC","200000008_110_60842__","BIF","0","","ITS Bank","0","0","41.66796","-93.711168","6700 PIONEER PARKWAY","JOHNSTON","IA","IOWA","50131","0000","1","1","0","0","CREDIT CARD BANK","15","FI","N","6700 PIONEER PARKWAY","JOHNSTON","2000-01-01T00:00:00","2000","IA","50131","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","IOWA","19","200000008","","0","0","0","0","0","60842","0","0","","","","","","","","","",""
"2000-05-04T00:00:00","2000","0","Y","35417","110","NEW INSTITUTION","Institution established. Original name: TriStar Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","DICKSON","43","2000-01-01T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-01T00:00:00","2000","0","0","0","0","0","13","DALLAS","","0","NM","C","Commercial","0","0","BIF","0","TN","0","FDIC","200000017_110_80012__","BIF","0","","TriStar Bank","0","0","36.053945","-87.36833","719 EAST COLLEGE STREET","DICKSON","TN","TENNESSEE","37055","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","650 HIGHWAY 46 SOUTH","DICKSON","2000-08-07T00:00:00","2000","TN","37055","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","TENNESSEE","47","200000017","","0","0","0","0","0","80012","0","0","","","","","","","","","",""
"2002-12-31T00:00:00","2002","0","Y","35347","110","NEW INSTITUTION","Institution established. Original name: National Bank of Commerce in Superior ().","OCC","0","0","0","0","N","0","C","Commercial","3","DOUGLAS","31","2000-01-03T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-03T00:00:00","2000","0","0","0","0","0","9","CHICAGO","","0","N","C","Commercial","0","0","BIF","0","WI","0","OCC","200000018_110_78808__","BIF","0","","National Bank of Commerce in Superior","0","0","46.72518","-92.104027","1127 TOWER AVENUE","SUPERIOR","WI","WISCONSIN","54880","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","1127 TOWER AVENUE","SUPERIOR","2000-01-03T00:00:00","2000","WI","54880","0000","OCC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","WISCONSIN","55","200000018","","0","0","0","0","0","78808","0","0","","","","","","","","","",""
"2004-05-23T00:00:00","2004","0","N","35509","110","NEW INSTITUTION","Institution established but was not FDIC insured. Original name: Valley View Financial Group Trust Company ().","STATE","0","0","0","0","NC","0","N/A","N/A","54","JOHNSON","91","2000-01-03T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-03T00:00:00","2000","0","0","0","0","0","11","KANSAS CITY","","0","NC","N/A","N/A","0","0","NONE","0","KS","0","STATE","200000230_110_80594__","NONE","0","","Valley View Financial Group Trust Company","0","0","39.023967","-94.666634","5901 COLLEGE BOULEVARD, SUITE 100","OVERLAND PARK","KS","KANSAS","66211","0000","1","0","0","0","TRUST COMPANY","310","FI","N","5800 FOXRIDGE DRIVE, SUITE 400","MISSION","2000-01-07T00:00:00","2000","KS","66202","0000","STATE","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","KANSAS","20","200000230","Full","0","0","0","0","0","80594","0","0","","","","","","","","","",""
"2000-02-13T00:00:00","2000","0","Y","35355","110","NEW INSTITUTION","Institution established. Original name: South Sound Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","THURSTON","67","2000-01-10T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-10T00:00:00","2000","0","0","0","0","0","14","SAN FRANCISCO","","0","NM","C","Commercial","0","0","BIF","0","WA","0","FDIC","200000268_110_78817__","BIF","0","","South Sound Bank","0","0","47.045736","-122.941056","P.O. BOX 12720","OLYMPIA","WA","WASHINGTON","98508","2720","1","1","0","0","COMMERCIAL BANK","10","FI","N","400 COOPER POINT ROAD S.W., SUITE 10","OLYMPIA","2001-02-14T00:00:00","2001","WA","98502","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","WASHINGTON","53","200000268","","0","0","0","0","0","78817","0","0","","","","","","","","","",""
"2004-10-13T00:00:00","2004","0","Y","35033","110","NEW INSTITUTION","Institution established. Original name: AMERICAN COMMUNITY BANK ().","STATE","0","0","0","0","NM","0","C","Commercial","21","NASSAU","59","2000-01-10T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-10T00:00:00","2000","0","0","0","0","0","2","NEW YORK","","0","NM","C","Commercial","0","0","BIF","0","NY","0","FDIC","200000269_110_73857__","BIF","0","","AMERICAN COMMUNITY BANK","0","0","40.859803","-73.621263","300 GLEN STREET","GLEN COVE","NY","NEW YORK","11542","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","300 GLEN STREET","GLEN COVE","2000-01-10T00:00:00","2000","NY","11542","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","NEW YORK","36","200000269","","0","0","0","0","0","73857","0","0","","","","","","","","","",""
"2006-03-29T00:00:00","2006","0","Y","35295","110","NEW INSTITUTION","Institution established. Original name: Greenville First Bank, N.A. ().","OCC","0","0","0","0","N","0","C","Commercial","3","GREENVILLE","45","2000-01-10T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-10T00:00:00","2000","0","0","0","0","0","5","ATLANTA","","0","N","C","Commercial","0","0","BIF","0","SC","0","OCC","200000270_110_77685__","BIF","0","","Greenville First Bank, N.A.","0","0","34.835464","-82.346079","100 VERDAE BOULEVARD, SUITE 100","GREENVILLE","SC","SOUTH CAROLINA","29607","3857","1","1","0","0","COMMERCIAL BANK","10","FI","N","112 HAYWOOD ROAD","GREENVILLE","2000-01-10T00:00:00","2000","SC","29607","0000","OCC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","SOUTH CAROLINA","45","200000270","","0","0","0","0","0","77685","0","0","","","","","","","","","",""
"2002-06-27T00:00:00","2002","0","Y","35394","110","NEW INSTITUTION","Institution established. Original name: The MassMutual Trust Company, F.S.B. ().","OTS","0","0","0","0","SB","0","S","Savings","33","HARTFORD","3","2000-01-12T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-12T00:00:00","2000","0","0","0","0","0","2","NEW YORK","","0","SB","S","Savings","0","0","SAIF","0","CT","0","OTS","200000307_110_79498__","SAIF","0","","The MassMutual Trust Company, F.S.B.","0","0","0","0","100 Bright Meadow Blvd","Enfield","CT","CONNECTICUT","06082","1981","1","1","0","0","STOCK SAVINGS BANK","115","FI","N","CITYPLACE 1, 185 ASYLUM STREET","HARTFORD","2000-01-13T00:00:00","2000","CT","06103","3408","OTS","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","CONNECTICUT","9","200000307","Full","0","0","0","0","0","79498","0","0","","","","","","","","","",""
"2006-03-29T00:00:00","2006","0","Y","35296","110","NEW INSTITUTION","Institution established. Original name: Tennessee Commerce Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","WILLIAMSON","187","2000-01-14T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-14T00:00:00","2000","0","0","0","0","0","13","DALLAS","","0","NM","C","Commercial","0","0","BIF","0","TN","0","FDIC","200000324_110_77686__","BIF","0","","Tennessee Commerce Bank","0","0","35.952544","-86.82117","381 MALLORY STATION ROAD","FRANKLIN","TN","TENNESSEE","37067","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","381 MALLORY STATION ROAD","FRANKLIN","2000-01-18T00:00:00","2000","TN","37067","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","TENNESSEE","47","200000324","","0","0","0","0","0","77686","0","0","","","","","","","","","",""
"2001-04-29T00:00:00","2001","0","Y","34951","110","NEW INSTITUTION","Institution established. Original name: Harvest Community Bank ().","STATE","0","0","0","0","NM","0","C","Commercial","21","SALEM","33","2000-01-18T00:00:00","2000","9999-12-31T00:00:00","9999","2000-01-18T00:00:00","2000","0","0","0","0","0","2","NEW YORK","","0","NM","C","Commercial","0","0","BIF","0","NJ","0","FDIC","200000325_110_62125__","BIF","0","","Harvest Community Bank","0","0","39.670505","-75.504912","P. O. BOX 219","PENNSVILLE TOWNSHIP","NJ","NEW JERSEY","08070","0000","1","1","0","0","COMMERCIAL BANK","10","FI","N","285 NORTH BROADWAY","PENNSVILLE TOWNSHIP","2000-01-18T00:00:00","2000","NJ","08070","0000","FDIC","0","0","110","11","FULL SERVICE - BRICK AND MORTAR","NEW JERSEY","34","200000325","","0","0","0","0","0","62125","0","0","","","","","","","","","",""
