,CERT,CHCLASS1,COST,NAME,QBFASSET,QBFDEP,RESTYPE,CITY,STATE,YEAR_FAILED,MONTH_FAILED,QUARTER_FAILED
0,21111,N,2491.0,CITY NATIONAL BANK OF NEW JERSEY,120574,111234,FAILURE,NEWARK, NJ,2019,11,2019Q4
1,58112,NM,4547.0,LOUISA COMMUNITY BANK,28163,25174,FAILURE,LOUISA, KY,2019,10,2019Q4
2,58317,SB,2188.0,RESOLUTE BANK,23292,22885,FAILURE,MAUMEE, OH,2019,10,2019Q4
3,10716,NM,21577.0,ENLOE STATE BANK,36738,31254,FAILURE,COOPER, TX,2019,5,2019Q2
4,30570,SB,86826.0,WASHINGTON FEDERAL BANK FOR SAVINGS,166345,143964,FAILURE,CHICAGO, IL,2017,12,2017Q4
5,17719,NM,280.0,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,33012,27466,FAILURE,ARGONIA, KS,2017,10,2017Q4
6,1802,SM,8544.0,FAYETTE COUNTY BANK,34370,33972,FAILURE,SAINT ELMO, IL,2017,5,2017Q2
7,30003,SB,133914.0,GUARANTY BANK,1031900,1002026,FAILURE,MILWAUKEE, WI,2017,5,2017Q2
8,58302,NM,858100.0,FIRST NBC BANK,3325870,3032208,FAILURE,NEW ORLEANS, LA,2017,4,2017Q2
9,35495,NM,9302.0,PROFICIO BANK,68208,65042,FAILURE,COTTONWOOD HEIGHTS, UT,2017,3,2017Q1
10,19328,NM,44526.0,SEAWAY BANK AND TRUST COMPANY,297809,256505,FAILURE,CHICAGO, IL,2017,1,2017Q1
11,34951,NM,22158.0,HARVEST COMMUNITY BANK,124223,122177,FAILURE,PENNSVILLE, NJ,2017,1,2017Q1
12,91,SM,6213.0,ALLIED BANK,66336,64713,FAILURE,MULBERRY, AR,2016,9,2016Q3
13,11297,NM,3290.0,THE WOODBURY BANKING COMPANY,21426,21122,FAILURE,WOODBURY, GA,2016,8,2016Q3
14,35312,NM,10825.0,FIRST CORNERSTONE BANK,103307,101040,FAILURE,KING OF PRUSSIA, PA,2016,5,2016Q2
15,9956,NM,10372.0,TRUST COMPANY BANK,18998,20148,FAILURE,MEMPHIS, TN,2016,4,2016Q2
16,20364,NM,11763.0,NORTH MILWAUKEE STATE BANK,67115,61493,FAILURE,MILWAUKEE, WI,2016,3,2016Q1
17,35156,N,995.0,HOMETOWN NATIONAL BANK,3785,3705,FAILURE,LONGVIEW, WA,2015,10,2015Q4
18,35259,NM,27760.0,THE BANK OF GEORGIA,286102,264234,FAILURE,PEACHTREE CITY, GA,2015,10,2015Q4
19,34112,SM,1210.0,PREMIER BANK,26760,25480,FAILURE,DENVER, CO,2015,7,2015Q3
20,57772,NM,20651.0,EDGEBROOK BANK,90034,90007,FAILURE,CHICAGO, IL,2015,5,2015Q2
21,32102,NM,693979.0,DORAL BANK,5898515,4097734,FAILURE,SAN JUAN, PR,2015,2,2015Q1
22,33938,NM,96014.0,CAPITOL CITY BANK & TRUST COMPANY,272311,262652,FAILURE,ATLANTA, GA,2015,2,2015Q1
23,20290,NM,4743.0,HIGHLAND COMMUNITY BANK,54727,53453,FAILURE,CHICAGO, IL,2015,1,2015Q1
24,17557,N,6329.0,FIRST NATIONAL BANK OF CRESTVIEW,73804,73199,FAILURE,CRESTVIEW, FL,2015,1,2015Q1
