"ASSET","COUNT","DEP","EQNM","ID","NETINC","STNAME","YEAR"
1377930050,627,1139336073,134269444,"SI_2020_USA",10666962,"United States & Other Areas","2020"
1153909083,659,921025698,124980033,"SI_2019_USA",15173804,"United States & Other Areas","2019"
1214890126,691,967743272,130515805,"SI_2018_USA",14709579,"United States & Other Areas","2018"
1197528280,752,931621527,128741636,"SI_2017_USA",12599400,"United States & Other Areas","2017"
1151900278,801,912251387,124999312,"SI_2016_USA",13823959,"United States & Other Areas","2016"
1074447339,844,840520243,118519746,"SI_2015_USA",11542528,"United States & Other Areas","2015"
1079070863,902,825270694,126770235,"SI_2014_USA",12057462,"United States & Other Areas","2014"
1057733803,965,806376744,124252448,"SI_2013_USA",11201870,"United States & Other Areas","2013"
1062904522,1011,805379084,126856353,"SI_2012_USA",11000763,"United States & Other Areas","2012"
1240876663,1082,927529382,147005498,"SI_2011_USA",8229340,"United States & Other Areas","2011"
1249480356,1139,905285036,146657333,"SI_2010_USA",8059003,"United States & Other Areas","2010"
1259995821,1183,890195106,135609271,"SI_2009_USA",1655588,"United States & Other Areas","2009"
1504529737,1228,943474963,141147398,"SI_2008_USA",-6176438,"United States & Other Areas","2008"
1852033584,1255,1101505469,203856776,"SI_2007_USA",2305752,"United States & Other Areas","2007"
1764112666,1283,1089572066,217351215,"SI_2006_USA",16957823,"United States & Other Areas","2006"
1832320745,1310,1063801533,205745863,"SI_2005_USA",19850034,"United States & Other Areas","2005"
1687279645,1348,987990039,188655546,"SI_2004_USA",18200233,"United States & Other Areas","2004"
1474652909,1414,925676726,138812332,"SI_2003_USA",18054777,"United States & Other Areas","2003"
1359014021,1467,878713358,128613888,"SI_2002_USA",15244166,"United States & Other Areas","2002"
1314783437,1533,811869775,113265641,"SI_2001_USA",12861545,"United States & Other Areas","2001"
1217338322,1589,735192970,102920597,"SI_2000_USA",10705211,"United States & Other Areas","2000"
