"BRANCHES","ID","New_Char","STNAME","TOTAL","YEAR"
74924,"CB_2020_USA",7,"United States & Other Areas",4377,"2020"
77015,"CB_2019_USA",13,"United States & Other Areas",4523,"2019"
77715,"CB_2018_USA",7,"United States & Other Areas",4717,"2018"
79067,"CB_2017_USA",5,"United States & Other Areas",4918,"2017"
80407,"CB_2016_USA",0,"United States & Other Areas",5115,"2016"
81941,"CB_2015_USA",1,"United States & Other Areas",5348,"2015"
82818,"CB_2014_USA",0,"United States & Other Areas",5609,"2014"
83859,"CB_2013_USA",1,"United States & Other Areas",5851,"2013"
84898,"CB_2012_USA",1,"United States & Other Areas",6087,"2012"
85309,"CB_2011_USA",5,"United States & Other Areas",6279,"2011"
84876,"CB_2010_USA",10,"United States & Other Areas",6532,"2010"
85566,"CB_2009_USA",29,"United States & Other Areas",6828,"2009"
85204,"CB_2008_USA",91,"United States & Other Areas",7086,"2008"
81182,"CB_2007_USA",176,"United States & Other Areas",7288,"2007"
78839,"CB_2006_USA",179,"United States & Other Areas",7402,"2006"
76096,"CB_2005_USA",167,"United States & Other Areas",7467,"2005"
73479,"CB_2004_USA",122,"United States & Other Areas",7570,"2004"
70230,"CB_2003_USA",110,"United States & Other Areas",7698,"2003"
69003,"CB_2002_USA",91,"United States & Other Areas",7803,"2002"
67677,"CB_2001_USA",127,"United States & Other Areas",7998,"2001"
67558,"CB_2000_USA",190,"United States & Other Areas",8200,"2000"
